token_id,token_string,rank,frequency,rock_count,math500_acc,math500_delta,ifeval_acc,ifeval_delta
6083, shape,888,108,39,0.754,0.01200000000000001,0.7597042513863216,0.012939001848428777
6514, mix,2023,40,13,0.752,0.010000000000000009,0.7504621072088724,0.003696857670979603
17976, rounded,2135,37,12,0.75,0.008000000000000007,0.7486136783733827,0.001848428835489857
12579, matching,680,172,54,0.748,0.006000000000000005,0.7486136783733827,0.001848428835489857
3226,sl,1213,71,26,0.748,0.006000000000000005,0.7467652495378928,0.0
4009, represent,1322,68,23,0.748,0.006000000000000005,0.7467652495378928,0.0
7218, moving,1360,59,22,0.748,0.006000000000000005,0.7375231053604436,-0.009242144177449174
24047, placing,1443,54,20,0.748,0.006000000000000005,0.7486136783733827,0.001848428835489857
16652, removal,1729,43,16,0.748,0.006000000000000005,0.7467652495378928,0.0
4135, easy,1731,46,16,0.748,0.006000000000000005,0.7430683918669131,-0.003696857670979714
7611, devices,1826,40,15,0.748,0.006000000000000005,0.7430683918669131,-0.003696857670979714
656, self,1916,36,14,0.748,0.006000000000000005,0.7486136783733827,0.001848428835489857
13655, Keep,1929,45,14,0.748,0.006000000000000005,0.744916820702403,-0.001848428835489857
3900, hope,2012,30,13,0.748,0.006000000000000005,0.756007393715342,0.009242144177449174
4399, fall,2025,40,13,0.748,0.006000000000000005,0.7504621072088724,0.003696857670979603
7010, cool,2406,31,10,0.748,0.006000000000000005,0.7467652495378928,0.0
3654, certain,1020,92,33,0.746,0.0040000000000000036,0.7393715341959335,-0.007393715341959317
10693, allowing,1652,38,17,0.746,0.0040000000000000036,0.7486136783733827,0.001848428835489857
7661,More,1727,40,16,0.746,0.0040000000000000036,0.7467652495378928,0.0
52847, recursively,1819,35,15,0.746,0.0040000000000000036,0.7412199630314233,-0.00554528650646946
14892, EV,1908,33,14,0.746,0.0040000000000000036,0.7375231053604436,-0.009242144177449174
24065, transit,1923,42,14,0.746,0.0040000000000000036,0.7467652495378928,0.0
34087,closed,1926,44,14,0.746,0.0040000000000000036,0.7467652495378928,0.0
9186, Support,2015,35,13,0.746,0.0040000000000000036,0.7467652495378928,0.0
20975, explicitly,2018,37,13,0.746,0.0040000000000000036,0.7412199630314233,-0.00554528650646946
15862,best,2130,35,12,0.746,0.0040000000000000036,0.7467652495378928,0.0
27745, Strategy,2275,35,11,0.746,0.0040000000000000036,0.7467652495378928,0.0
2980, Can,865,131,40,0.744,0.0020000000000000018,0.7467652495378928,0.0
3746, strong,1285,60,24,0.744,0.0020000000000000018,0.7504621072088724,0.003696857670979603
47856,avoid,1286,76,24,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
37165,roots,1320,49,23,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
4419, features,1323,76,23,0.744,0.0020000000000000018,0.7523105360443623,0.00554528650646946
18776, flexible,1399,40,21,0.744,0.0020000000000000018,0.744916820702403,-0.001848428835489857
3886, border,1444,65,20,0.744,0.0020000000000000018,0.7467652495378928,0.0
2487, body,1445,66,20,0.744,0.0020000000000000018,0.7541589648798521,0.007393715341959317
21803, sustainable,1502,42,19,0.744,0.0020000000000000018,0.7467652495378928,0.0
51240,specific,1503,43,19,0.744,0.0020000000000000018,0.7375231053604436,-0.009242144177449174
9691, delivery,1504,43,19,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
7375, tools,1505,53,19,0.744,0.0020000000000000018,0.7504621072088724,0.003696857670979603
18663, separated,1508,62,19,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
6559, trade,1571,41,18,0.744,0.0020000000000000018,0.7467652495378928,0.0
3728, location,1572,43,18,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
10535, communication,1573,48,18,0.744,0.0020000000000000018,0.7375231053604436,-0.009242144177449174
9977, climate,1574,50,18,0.744,0.0020000000000000018,0.756007393715342,0.009242144177449174
2244, great,1575,51,18,0.744,0.0020000000000000018,0.7430683918669131,-0.003696857670979714
9812, EU,1576,58,18,0.744,0.0020000000000000018,0.7541589648798521,0.007393715341959317
7015, sun,1651,33,17,0.744,0.0020000000000000018,0.7467652495378928,0.0
3590, social,1653,40,17,0.744,0.0020000000000000018,0.7504621072088724,0.003696857670979603
7479, demand,1654,41,17,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
7785, smart,1655,46,17,0.744,0.0020000000000000018,0.7467652495378928,0.0
38770,unless,1657,52,17,0.744,0.0020000000000000018,0.7467652495378928,0.0
4329, Some,1658,52,17,0.744,0.0020000000000000018,0.7393715341959335,-0.007393715341959317
27079, accordingly,1659,54,17,0.744,0.0020000000000000018,0.7467652495378928,0.0
9008, Initialize,1721,31,16,0.744,0.0020000000000000018,0.7467652495378928,0.0
6955, economic,1722,31,16,0.744,0.0020000000000000018,0.7393715341959335,-0.007393715341959317
6583,Long,1723,31,16,0.744,0.0020000000000000018,0.7504621072088724,0.003696857670979603
6069, led,1724,34,16,0.744,0.0020000000000000018,0.7578558225508318,0.011090573012939031
9124, visual,1725,37,16,0.744,0.0020000000000000018,0.7467652495378928,0.0
11450, creates,1726,39,16,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
7802, affect,1728,42,16,0.744,0.0020000000000000018,0.7467652495378928,0.0
11249, nuclear,1732,49,16,0.744,0.0020000000000000018,0.7541589648798521,0.007393715341959317
6481, modern,1734,50,16,0.744,0.0020000000000000018,0.7467652495378928,0.0
12344, scientific,1815,30,15,0.744,0.0020000000000000018,0.7486136783733827,0.001848428835489857
