sample_idx,n_tokens,total_kl,rock_count,nonrock_high_count,rock_kl,nonrock_high_kl,rock_pct,nonrock_high_pct,rock_kl_share,nonrock_high_kl_share
0,4096,395.85567147463667,1912,99,179.2031767415583,149.29038166999817,46.6796875,2.4169921875,45.2698267714576,37.71333655871684
1,647,67.22406950718143,325,15,39.47354046300443,23.438868522644043,50.23183925811438,2.3183925811437405,58.71935565993598,34.86678014954169
2,317,34.89479762943618,188,3,17.394656376622027,16.44175434112549,59.305993690851736,0.9463722397476341,49.84885300480559,47.118067614914985
3,3168,412.72893523197973,1444,101,203.60959286664516,142.6992626786232,45.58080808080808,3.188131313131313,49.33252202252398,34.574571952028805
4,257,27.411417418651872,146,2,21.444722858570387,3.3327927589416504,56.809338521400775,0.7782101167315175,78.23281274020694,12.158410884195574
5,3988,402.6162001099189,1920,94,196.30071077734425,125.85278290510178,48.144433299899696,2.3570712136409226,48.75628718460705,31.258747877194832
6,465,64.48383183297749,245,17,29.788659428918248,28.977227687835693,52.68817204301075,3.6559139784946235,46.19554791048276,44.937198773935975
7,1794,160.84286425925623,944,40,71.60472546189372,67.91416245698929,52.61984392419175,2.229654403567447,44.518434679499926,42.22392007861856
8,2118,215.47710308659845,883,47,78.25402184577776,120.46794271469116,41.69027384324835,2.2190745986779983,36.31662980652201,55.90753773326723
9,365,32.068683474315925,218,5,18.501704900578677,11.906706035137177,59.726027397260275,1.36986301369863,57.69399581182323,37.12876471737094
10,865,147.44727892372177,478,32,69.94276786562554,63.173143446445465,55.26011560693642,3.699421965317919,47.4357806913539,42.844563770570865
11,535,19.793363803058124,309,6,7.920321654178245,9.347430109977722,57.757009345794394,1.1214953271028036,40.015036014012615,47.225071003512404
12,529,74.20754491132074,288,13,32.67181601428585,34.950947999954224,54.44234404536862,2.4574669187145557,44.027620174376096,47.0989143243065
13,570,97.52038883973852,307,19,55.99893089053196,33.02084028720856,53.85964912280702,3.3333333333333335,57.42279287109753,33.86044772798621
14,327,32.90484687598873,151,4,20.643120843309823,10.040840744972229,46.17737003058104,1.2232415902140672,62.73580582553474,30.514777299569243
15,398,78.49389881467927,199,13,39.959061647283114,32.901087641716,50.0,3.2663316582914574,50.907219861284695,41.915471315030565
16,560,56.91533643193176,273,9,36.43291812387698,12.431103646755219,48.75,1.6071428571428572,64.01247960195957,21.841395353293347
17,620,62.27579181173894,277,16,26.182178763751846,29.825650095939636,44.67741935483871,2.5806451612903225,42.042305689024616,47.89284765114383
18,199,25.394917589254522,118,6,5.231213039635011,19.255220890045166,59.2964824120603,3.0150753768844223,20.599448772570618,75.8231280821038
19,2009,145.98186968835628,1125,25,73.84276499514485,51.98264253139496,55.998008959681435,1.2444001991040319,50.583517770244484,35.60897160884984
20,323,78.65421214748034,155,9,48.09953031870767,26.87733006477356,47.98761609907121,2.7863777089783284,61.15315252095946,34.17150757848455
21,4096,618.6605105405195,2109,118,342.3408508631258,157.570228099823,51.4892578125,2.880859375,55.33581746861861,25.46957910117052
22,4096,810.4732120808682,2390,199,332.09166530118904,304.9479265809059,58.349609375,4.8583984375,40.97503290066215,37.625910645209395
23,635,95.91509067141024,329,15,48.9145620792083,39.99193513393402,51.811023622047244,2.3622047244094486,50.99777494532301,41.69514395908772
24,4096,285.782267444195,2040,50,148.86963027398357,100.79058784246445,49.8046875,1.220703125,52.09197603663548,35.26831414134046
25,4096,451.41099211899024,2374,69,257.4621343600298,125.53253972530365,57.958984375,1.6845703125,57.03497231014785,27.808923999842197
26,958,57.94565286908919,565,13,29.160050769378717,22.022800743579865,58.97703549060543,1.3569937369519833,50.32310333142178,38.00595843373061
27,752,31.07043869956676,385,9,16.410423849401816,12.548535823822021,51.1968085106383,1.196808510638298,52.816839852443536,40.38737896545051
28,3415,372.8958642275463,1553,79,157.98052963275825,134.74757331609726,45.47584187408492,2.3133235724743777,42.365857277611504,36.135443227622495
