rock_id,rock_token,rock_freq,rock_mean_kl,rock_freq_mean,ctrl_id,ctrl_token,ctrl_freq,ctrl_mean_kl,ctrl_freq_mean,rock_decoded,ctrl_decoded
3070,<id=3070>,1572,0.5206408208396639,818.4473703599516,729,<id=729>,87,0.275553359742594,23.97314229760568,' **',' function'
279,<id=279>,3075,0.2250432802668886,692.0080868206826,308,<id=308>,153,0.0560735695452613,8.57925614042498,' the',' n'
400,<id=400>,4725,0.1431226652646302,676.2545933753779,26888,<id=26888>,352,0.0154184342711851,5.427288863457176,' $','sqrt'
220,<id=220>,6772,0.0611032270889979,413.7910538466944,3417,<id=3417>,162,0.0782482830989414,12.676221862028513,' ','}}'
11,<id=11>,2155,0.1864139393258603,401.72203924722896,435,<id=435>,114,0.0660564215595186,7.530432057785124,"','",' r'
1447,<id=1447>,1201,0.3242456162608458,389.4189851292758,3108,<id=3108>,95,0.1181268022490526,11.222046213660004,':\n\n',' side'
1124,<id=1124>,3026,0.1213268867122336,367.1351591912192,15136,<id=15136>,280,0.0343718186997599,9.624109235932798,' \\','times'
44364,<id=44364>,930,0.36363469192378,338.1802634891155,14822,<id=14822>,929,0.0178881717748468,16.618111578832707,'---\n\n',' Step'
1654,<id=1654>,971,0.3267632345740419,317.28710077139465,23,<id=23>,636,0.0205366328561828,13.061298496532318,'We','8'
382,<id=382>,1094,0.2727537030300048,298.3925511148253,1291,<id=1291>,95,0.0025615534161143,0.2433475745308593,'.\n\n','right'
264,<id=264>,1123,0.2553037452390644,286.7061059034694,3501,<id=3501>,101,0.2388047896342666,24.11928375306093,' a',' points'
315,<id=315>,1408,0.2011002912317988,283.1492100543728,8,<id=8>,900,0.0322421165493207,29.01790489438866,' of',')'
271,<id=271>,1985,0.126800111546435,251.69822141967347,31610,<id=31610>,163,0.0642330228562007,10.469982725560726,'\n\n','quad'
14085,<id=14085>,2909,0.0847641963928701,246.57904730685928,1318,<id=1318>,308,0.0634925541279386,19.555706671405105,'$$','text'
320,<id=320>,721,0.3236621352127977,233.36039948842716,258,<id=258>,90,0.1955092309589067,17.595830786301608,' (','in'
374,<id=374>,1044,0.2134601131277279,222.85235810534792,4930,<id=4930>,99,0.2657546616036551,26.309711498761857,' is',' $('
334,<id=334>,1266,0.1704028210660523,215.72997146962223,81,<id=81>,120,0.012690409855554,1.5228491826664845,'**','r'
510,<id=510>,521,0.3938780413399447,205.2104595381112,65,<id=65>,172,0.006575164520163,1.1309282974680472,':\n','b'
323,<id=323>,724,0.2818697785370037,204.07371966079072,272,<id=272>,170,0.0228351576551424,3.881976801374224,' and',' c'
16,<id=16>,3666,0.0538283370568781,197.3346836505152,282,<id=282>,170,0.0587424115914005,9.986209970538091,'1',' f'
525,<id=525>,1276,0.1276998187029356,162.94496866494586,69,<id=69>,107,0.1957128276490095,20.941272558444016,' are','f'
