token_id,frequency,rock_count,rock_rate,avg_loss_before,avg_loss_after,avg_improvement,avg_teacher_entropy,avg_student_entropy_before,avg_student_entropy_after,rank_by_rate,rank_by_count,token_string
13027,1138,371,0.3260105448154657,0.8814264618396168,1.26868276660902,-0.3872563047694031,0.3881948854306382,0.3303413153017961,0.2892145781604594,134,115, Python
1084,856,263,0.3072429906542056,0.793273903189028,0.8347278074025433,-0.04145390421351525,0.8720459097452105,0.8045392923537155,0.7560245378123795,188,152, It
5916,400,123,0.3075,0.49343957015536577,0.5265776496604871,-0.033138079505121376,0.8876547456713183,0.9454280267876549,0.8539987321139779,187,318, starting
7036,267,91,0.3408239700374532,1.0392421577359041,1.0767372561259583,-0.03749509839005416,1.0788163186248783,1.0497480120519278,1.1737883261964717,113,420, Note
3705,259,83,0.3204633204633205,0.8872746547815715,0.8471302614990275,0.040144393282544044,1.1524148581889697,1.2352462325150302,1.1929389467565379,152,445, handle
4354,264,83,0.3143939393939394,0.8448594161612898,0.7653877207276603,0.07947169543362953,1.2778090599371212,1.4124700225802922,1.270196899045197,166,446, However
21484,200,69,0.345,1.0335312283079838,1.0341895942075643,-0.0006583658995804598,0.9562665076431586,1.0615376943862065,0.9885235916241072,103,536, assumes
4240,215,65,0.3023255813953488,0.9336943977134821,0.9378622122642666,-0.004167814550784521,1.0676703689605664,1.0425695564380928,1.1205807363042473,199,567, clean
25351,149,57,0.3825503355704698,0.7424331093847677,0.814430711533868,-0.07199760214910034,1.128297623371918,1.0953099619567506,1.024576234394503,60,646, ensures
12579,172,54,0.313953488372093,0.7678251594716553,0.7119680647443856,0.05585709472726974,1.328073148905343,1.2322550608321678,1.2068798863274848,171,680, matching
5046,144,52,0.3611111111111111,0.4968981398896075,0.529322675545422,-0.03242453565581449,1.1959169977490092,1.301745522152891,1.2273679109651614,78,705, fix
2980,131,40,0.3053435114503817,0.8043463836203664,0.8458333531492799,-0.04148696952891351,1.1975886397746227,1.1110486050299901,1.1122421372169984,191,865, Can
6083,108,39,0.3611111111111111,0.6519527194692644,0.6330847958213944,0.018867923647869933,1.184697378635459,1.1764364101846512,1.0885406912971352,79,888, shape
6147,111,36,0.32432432432432434,0.8390710869602658,0.7835087566342842,0.05556233032598157,1.0837286143387492,1.123162264558109,1.113975998081334,142,947, allows
3654,92,33,0.358695652173913,0.5674452445104892,0.7038193379951775,-0.13637409348468832,0.9608112042061174,1.0180008853760385,0.9311674559079541,82,1020, certain
