token_id,frequency,rock_count,rock_rate,avg_loss_before,avg_loss_after,avg_improvement,avg_teacher_entropy,avg_student_entropy_before,avg_student_entropy_after,rank,token_string
11674,13,10,0.7692307692307693,1.7787754082908998,2.0102461828635287,-0.231470774572629,1.716038927435875,1.4096151469633555,1.3055767121796424,1, songs
26443,11,8,0.7272727272727273,0.9373555732044306,1.1331628115678376,-0.19580723836340697,0.8937906751578505,0.8470212898471139,0.78964417766441,2, sensitivity
33663,11,8,0.7272727272727273,0.7580029042861001,1.047385605475442,-0.28938270118934195,1.0758335622112183,0.9908253956924785,0.9421733394265175,3, Protect
8177,14,10,0.7142857142857143,1.057781892163413,1.061671827520643,-0.0038899353572299233,2.1126590967178345,1.918424048594066,1.8265080004930496,4, hidden
14680,14,10,0.7142857142857143,1.1569082524095262,1.2517284218754088,-0.09482016946588256,1.3767569597278322,1.4460888036659785,1.4342068604060583,5, competitive
3061,10,7,0.7,1.249334381520748,1.4805361770093441,-0.2312017954885961,1.771345329284668,1.5257620811462402,1.429404377937317,6, talk
1072,12,8,0.6666666666666666,1.2886633936759608,1.4851811330057292,-0.19651773932976835,1.5940699324710295,1.7475609098231264,1.6349260008476751,7,Int
34416,12,8,0.6666666666666666,0.6772744418897977,0.977811212457406,-0.3005367705676083,0.9261020246194676,0.881521637852226,0.627525819116272,8, justified
43690,12,8,0.6666666666666666,0.7192839717392872,0.8940396850248362,-0.17475571328554906,0.5242031516880417,0.531062845363825,0.4760875951081592,9, boil
26530,14,9,0.6428571428571429,0.8689398152387834,1.0713113086032016,-0.20237149336441818,0.816445092703881,1.0571712125092745,0.9515930259866374,10, Allow
6646,14,9,0.6428571428571429,1.395164102581995,1.5735222133142608,-0.17835811073226582,1.0925750264099665,0.917492146470717,0.8834137831415448,11, pain
5823,11,7,0.6363636363636364,1.5421205135908993,1.364208920435472,0.17791159315542737,1.4062954024835066,1.4242771051146768,1.4117967510087923,12, passed
21396,22,14,0.6363636363636364,1.4522016978060657,1.6733420152344147,-0.22114031742834905,1.6200701946561986,1.3543944542550228,1.3262665121477435,13,Great
59363,11,7,0.6363636363636364,1.1847870952703736,1.4699849320406264,-0.2851978367702528,0.6330526423725215,0.899434051730416,0.7771621942520142,14, Engagement
7474,11,7,0.6363636363636364,1.6574859846481227,1.7863203373808574,-0.1288343527327347,1.3984150257099166,1.6200019809502093,1.4844897230028768,15, firm
15148,11,7,0.6363636363636364,0.7625037973577325,0.9891468591310761,-0.2266430617733436,1.2691996747797185,1.287587214599956,1.0012301260774785,16, closely
20748,11,7,0.6363636363636364,1.5107777321880513,1.747279671782797,-0.23650193959474564,1.549826793372631,1.8834136385809293,1.6462343849919059,17, golden
37387,11,7,0.6363636363636364,0.7839303721081127,0.7671246501532468,0.01680572195486585,1.2754256210543893,1.0494715435938402,1.0546600303866647,18,capacity
66446,13,8,0.6153846153846154,1.240019721767077,1.2863094752224593,-0.04628975345538233,1.10762638054215,1.2333687549600234,1.302411791223746,19, Supports
28322,10,6,0.6,0.4469735823571682,0.5178593926131725,-0.07088581025600427,1.3209907457232475,1.0890169436112047,1.2068160716444254,20, Urban
13216,10,6,0.6,0.8943550044670701,0.9860687781125307,-0.09171377364546063,1.246920645236969,1.380499772168696,1.2847499570343643,21, indicate
11112,15,9,0.6,0.7095610700547695,0.8625714580217997,-0.15301038796703015,0.9007674733797709,0.9640709643873075,0.8657704389343659,22, Follow
2454,10,6,0.6,1.7232871688902378,2.0306971672922374,-0.30740999840199956,2.0156775593757628,1.6786115348339081,1.6795098543167115,23,state
34807,10,6,0.6,0.47668815702199935,0.6637445986270905,-0.1870564416050911,1.0226300947368145,1.150202962756157,1.021000188589096,24, Overview
12094,10,6,0.6,0.6772663161158562,0.9042128450237215,-0.22694652890786526,0.8688489824533463,0.8974208921194077,0.47122660391032695,25, speaking
44595,15,9,0.6,0.9482731358857563,1.5114203914292224,-0.563147255543466,0.21911090774232586,0.2917679480703858,0.3162339395751284,26, completes
26742,10,6,0.6,1.068059402704239,1.1416232645511628,-0.07356386184692387,2.4995135962963104,2.1813152492046357,2.424924927949905,27, jag
15254,10,6,0.6,1.3204518750309944,1.311387911438942,0.009063963592052415,1.7644336342811584,2.107293117046356,1.9755768537521363,28, dance
4564,27,16,0.5925925925925926,1.1317818964383117,1.3392930970768686,-0.20751120063855688,1.328219348081836,1.6081612910385485,1.3430575689783804,29, connect
51057,17,10,0.5882352941176471,0.5354061041794279,0.8501291611396214,-0.31472305696019354,0.942491019199438,0.8864465176182634,0.8168372778112397,30,Imagine
49853,12,7,0.5833333333333334,0.9750490084600946,1.0644266406695049,-0.08937763220941031,1.1878144430617492,1.3601668489476044,1.3830254251758258,31, ecological
17503,12,7,0.5833333333333334,2.4929472744552186,2.4049702077366724,0.08797706671854622,1.0428124943282455,0.9814101640755931,1.161383338117351,32, Financial
13852,12,7,0.5833333333333334,1.2812591946373384,1.4137768615037203,-0.1325176668663819,1.0832579520841439,1.1687359573940437,1.0642831722895305,33, Tools
43660,26,15,0.5769230769230769,0.7468349217222288,0.8960396489844873,-0.14920472726225853,1.1724057025634325,0.9171189946623949,0.707158678999314,34," ['',"
22864,14,8,0.5714285714285714,0.9875732016350541,0.8653651321572917,0.12220806947776242,1.2681355093206679,1.447781924690519,1.548364873443331,35, embedded
25963,14,8,0.5714285714285714,1.8548592632370335,1.832721239754132,0.022138023482901614,1.654408453830651,1.43481864460877,1.3243521600961685,36, reflects
4208,14,8,0.5714285714285714,1.1088746754186494,1.5281125424163682,-0.4192378669977188,1.3719956938709532,1.4619767793587275,1.4571189454623632,37,insert
38973,14,8,0.5714285714285714,1.923629879186462,2.148671977554581,-0.22504209836811895,1.2353267959718193,1.2792636874530996,1.223276232236198,38, bridges
5101,16,9,0.5625,1.0008431423921138,1.1585517495814202,-0.15770860718930635,0.8042564115021378,1.0315256060566753,0.9878410962410271,39, resource
60817,16,9,0.5625,0.5874738978454843,0.7611840276513249,-0.17371012980584055,1.2382696121931076,1.321436244994402,1.1820563804358244,40,often
20173,25,14,0.56,1.7527732958667912,1.9562465901789254,-0.20347329431213423,0.9766448528524779,0.7670784758488298,0.6825357624143362,41, Students
5497,18,10,0.5555555555555556,0.6525027295057144,0.7429369934317138,-0.0904342639259994,1.313584350877338,1.3561959315686383,1.2507914638004474,42, changed
2632,42,23,0.5476190476190477,0.8805008687507195,1.0175000234199356,-0.13699915466921608,1.3477099848319736,1.4619737896012208,1.4194026848133598,43, little
13939,11,6,0.5454545454545454,1.6976836838505485,1.7937317544763738,-0.09604807062582532,1.9021505469625646,1.8296428485350176,1.7563597045161508,44, bold
10173,22,12,0.5454545454545454,1.312555318698287,1.541782641698691,-0.22922732300040405,1.0228141678327864,1.0777040069753474,1.0146097364750775,45, influence
