token_id,token_string,frequency,rock_count,rock_rate,avg_loss_before,avg_loss_after,avg_improvement,avg_teacher_entropy,avg_student_entropy_before,avg_student_entropy_after,math500_delta,math500_ci_lo,math500_ci_hi,math500_p,math500_category,ifeval_delta,ifeval_ci_lo,ifeval_ci_hi,ifeval_p,ifeval_category
10000, rise,35,12,0.34285714285714286,0.6632197274075768,0.7658845122853375,-0.10266478487776065,0.706712202333029,0.7493416979021333,0.6683002386925604,-0.0040000000000000036,-0.030000000000000027,0.02200000000000002,0.817,Neutral,0.001848428835489857,-0.009242144177449174,0.014787430683918634,0.88,Neutral
10063, flat,50,20,0.4,0.8659619095444213,0.976923576630652,-0.11096166708623068,1.0696513875957316,0.9799241039715707,1.0808758092019708,-0.008000000000000007,-0.028000000000000025,0.01200000000000001,0.5022,Neutral,0.009242144177449174,-0.003696857670979714,0.022181146025878062,0.2042,Neutral
1015,co,59,19,0.3220338983050847,0.7304695927453253,1.071794644313157,-0.34132505156783166,0.7745508822099413,0.6495136211138836,0.6624005208250001,0.0,-0.02200000000000002,0.02200000000000002,1.0602,Neutral,0.001848428835489857,-0.011090573012939031,0.014787430683918745,0.889,Neutral
10295, examples,59,26,0.4406779661016949,0.6407764930845985,0.7122919317553916,-0.07151543867079313,1.1192175177412476,1.09007887311334,1.0295590528853917,-0.0040000000000000036,-0.028000000000000025,0.020000000000000018,0.8136,Neutral,-0.007393715341959317,-0.02218114602587795,0.007393715341959317,0.3806,Neutral
10298,DP,32,11,0.34375,0.8106421488962487,1.0939004050924872,-0.28325825619623846,0.8667635860781786,0.9248486302232863,0.8869357377879794,0.0020000000000000018,-0.02199999999999991,0.026000000000000023,0.9252,Neutral,0.001848428835489857,-0.012939001848428888,0.01663585951940849,0.8966,Neutral
10535, communication,48,18,0.375,0.7239358047854694,0.7689542784103954,-0.04501847362492606,0.8043782366609472,0.9890066227405138,0.8745140712223171,0.0020000000000000018,-0.02199999999999991,0.026000000000000023,0.9252,Neutral,-0.009242144177449174,-0.02402957486136781,0.00554528650646946,0.261,Neutral
1055,of,36,13,0.3611111111111111,1.171143558031569,1.1231827740428142,0.04796078398875481,1.1815601647014975,1.0970766157843173,1.1602498922729865,-0.008000000000000007,-0.03200000000000003,0.016000000000000014,0.5976,Neutral,-0.00554528650646946,-0.020332717190388205,0.009242144177449174,0.5288,Neutral
10693, allowing,38,17,0.4473684210526316,0.8108661225506741,0.8539439332916549,-0.043077810740980715,1.3760420319281126,1.2999001521813243,1.2663400395724334,0.0040000000000000036,-0.020000000000000018,0.028000000000000025,0.8022,Neutral,0.001848428835489857,-0.011090573012939031,0.014787430683918745,0.893,Neutral
1084, It,856,263,0.3072429906542056,0.793273903189028,0.8347278074025433,-0.04145390421351525,0.8720459097452105,0.8045392923537155,0.7560245378123795,-0.006000000000000005,-0.028000000000000025,0.016000000000000014,0.6762,Neutral,0.007393715341959317,-0.005545286506469571,0.020332717190388205,0.3432,Neutral
10847, advanced,45,14,0.3111111111111111,0.8398434579346536,0.7925540964377837,0.04728936149686991,0.9292110739068853,1.1830405248949925,1.1386338950238295,-0.016000000000000014,-0.038000000000000034,0.008000000000000007,0.207,Neutral,0.001848428835489857,-0.012939001848428777,0.01663585951940849,0.9026,Neutral
11016, pad,34,15,0.4411764705882353,0.7762944422495233,0.9831545578993374,-0.2068601156498141,1.402265219237854,1.2678436758006308,1.0792236572188438,0.0020000000000000018,-0.02199999999999991,0.026000000000000023,0.9252,Neutral,-0.001848428835489857,-0.014787430683918634,0.009242144177449174,0.8862,Neutral
11137, causes,66,21,0.3181818181818182,0.7945057913170096,0.8738694116902702,-0.07936362037326061,1.1435122113589387,1.0119711240964313,0.8830366990173526,0.0,-0.020000000000000018,0.020000000000000018,1.0696,Neutral,0.001848428835489857,-0.011090573012939031,0.01663585951940849,0.9012,Neutral
11178, candidates,35,14,0.4,0.6539013575804087,0.7806817391945515,-0.12678038161414285,1.1041648896793568,1.2126796461593454,1.1296807784049763,0.0020000000000000018,-0.020000000000000018,0.02400000000000002,0.9214,Neutral,0.001848428835489857,-0.012939001848428888,0.01663585951940849,0.9016,Neutral
11249, nuclear,49,16,0.32653061224489793,0.6612399404129603,0.7039548904921299,-0.04271495007916959,0.8365802741683758,0.7559253008227216,0.7183789279049367,0.0020000000000000018,-0.02199999999999991,0.026000000000000023,0.9252,Neutral,0.007393715341959317,-0.00554528650646946,0.020332717190388205,0.3022,Neutral
11450, creates,39,16,0.41025641025641024,1.3009113330880586,1.3668320044779625,-0.06592067138990387,0.9828853310109713,0.9608879255560728,0.9598632483528211,0.0020000000000000018,-0.02199999999999991,0.026000000000000023,0.9252,Neutral,0.001848428835489857,-0.009288354898336376,0.014787430683918634,0.8756,Neutral
11464, explicit,30,14,0.4666666666666667,0.9381044713935505,1.3383263751243553,-0.4002219037308048,0.7239218155232569,0.7545821614253024,0.8655648212724676,-0.008000000000000007,-0.03200000000000003,0.016000000000000014,0.5976,Neutral,-0.001848428835489857,-0.014787430683918745,0.012939001848428777,0.9038,Neutral
11508, leads,97,30,0.30927835051546393,0.6206189589802963,0.6093044501474876,0.011314508832808712,1.3463486497453654,1.2726897548346483,1.221396075897687,-0.0020000000000000018,-0.024049999999999974,0.02200000000000002,0.9346,Neutral,-0.001848428835489857,-0.01663585951940849,0.012939001848428777,0.8988,Neutral
11682, detailed,34,14,0.4117647058823529,1.2007521150996634,1.45989234481535,-0.2591402297156866,0.8387438179514206,1.0547521539470728,0.9315075046547195,-0.008000000000000007,-0.03200000000000003,0.016000000000000014,0.5976,Neutral,-0.007393715341959317,-0.020332717190388205,0.005545286506469571,0.3518,Neutral
11715, arms,35,11,0.3142857142857143,0.759033262947096,0.7792742739710385,-0.02024101102394249,0.8358778687739427,0.8405150545466313,0.7424354811868398,-0.008000000000000007,-0.03400000000000003,0.018000000000000016,0.5984,Neutral,0.003696857670979603,-0.009242144177449174,0.01848428835489835,0.6722,Neutral
1204,very,97,30,0.30927835051546393,0.8993174317916951,0.8470679967251328,0.05224943506656232,1.6284052183486752,1.6127667511362083,1.606218514983187,-0.0040000000000000036,-0.026000000000000023,0.018000000000000016,0.7938,Neutral,0.003696857670979603,-0.007393715341959317,0.014787430683918745,0.6364,Neutral
12344, scientific,30,15,0.5,0.8997988193436565,0.9242636006286679,-0.024464781285011394,1.0060359204149185,0.9048152072199931,0.9893116713268683,0.0020000000000000018,-0.02199999999999991,0.026000000000000023,0.9252,Neutral,0.001848428835489857,-0.009242144177449174,0.014787430683918634,0.8836,Neutral
12579, matching,172,54,0.313953488372093,0.7678251594716553,0.7119680647443856,0.05585709472726974,1.328073148905343,1.2322550608321678,1.2068798863274848,0.006000000000000005,-0.016000000000000014,0.028000000000000025,0.6518,Neutral,0.001848428835489857,-0.009242144177449174,0.014787430683918634,0.857,Neutral
12624, patterns,69,22,0.3188405797101449,0.8297858686374489,0.8212500804550332,0.008535788182415627,1.0788649970087307,1.0340309463618937,1.034708020915958,-0.0040000000000000036,-0.028000000000000025,0.02200000000000002,0.8208,Neutral,0.0,-0.014787430683918634,0.014787430683918634,1.0806,Neutral
12681,-like,75,25,0.3333333333333333,1.0110747982883428,0.9395242929729284,0.0715505053154144,0.9439701539761639,0.9396870653346802,0.8595867683955779,-0.018000000000000016,-0.041999999999999926,0.006000000000000005,0.1424,Neutral,0.001848428835489857,-0.009242144177449174,0.012939001848428888,0.8756,Neutral
12831, considering,67,23,0.34328358208955223,0.7535321705404725,0.7304667295651761,0.023065440975296392,1.501124830833122,1.5464835745185168,1.5135957271750293,-0.008000000000000007,-0.03200000000000003,0.016000000000000014,0.5786,Neutral,0.007393715341959317,-0.005545286506469571,0.020332717190388205,0.3304,Neutral
13014, tech,37,12,0.32432432432432434,1.3066895188751153,1.183367295819964,0.12332222305515139,0.9250556853901897,1.183801615963111,1.1883029522928032,0.0020000000000000018,-0.02199999999999991,0.026000000000000023,0.9252,Neutral,-0.00554528650646946,-0.01848428835489835,0.007393715341959317,0.481,Neutral
13027, Python,1138,371,0.3260105448154657,0.8814264618396168,1.26868276660902,-0.3872563047694031,0.3881948854306382,0.3303413153017961,0.2892145781604594,-0.016000000000000014,-0.038000000000000034,0.008000000000000007,0.207,Neutral,-0.00554528650646946,-0.020332717190388205,0.007393715341959428,0.5122,Neutral
13655, Keep,45,14,0.3111111111111111,1.4126469302094644,1.2746754195127221,0.1379715106967423,1.3563605333937125,1.211430054737462,1.1946198278003268,0.006000000000000005,-0.016000000000000014,0.028000000000000025,0.643,Neutral,-0.001848428835489857,-0.014787430683918745,0.011090573012939031,0.892,Neutral
14043, maps,37,13,0.35135135135135137,0.5281470050396353,0.6261155358820852,-0.09796853084244994,0.9055292947972752,0.7425417325100933,0.6435058302378968,-0.020000000000000018,-0.04399999999999993,0.0040000000000000036,0.1118,Neutral,0.003696857670979603,-0.011090573012939031,0.01848428835489835,0.7148,Neutral
144582,👉,31,11,0.3548387096774194,1.0961661127118034,0.9266620373309706,0.16950407538083279,1.2054304542590775,1.2861379080699877,1.358207242540835,0.0020000000000000018,-0.02199999999999991,0.026000000000000023,0.9252,Neutral,0.001848428835489857,-0.012939001848428777,0.01663585951940849,0.8964,Neutral
14892, EV,33,14,0.42424242424242425,0.9349976164768591,0.9454703539588742,-0.01047273748201516,1.0726600996541409,1.1097197630866007,1.038805279118771,0.0040000000000000036,-0.018000000000000016,0.027999999999999914,0.781,Neutral,-0.009242144177449174,-0.02402957486136781,0.00554528650646946,0.2772,Neutral
1539,try,51,17,0.3333333333333333,0.9840299331619605,0.9715723167812708,0.012457616380689762,1.2670150403305431,1.2167397426268616,1.211314678407047,-0.006000000000000005,-0.030000000000000027,0.018000000000000016,0.6854,Neutral,0.0,-0.012939001848428777,0.012939001848428888,1.111,Neutral
1584, state,92,28,0.30434782608695654,0.6866916217089194,0.8022084141400979,-0.11551679243117852,1.003739157347809,0.957957211234988,0.8807047469814754,-0.010000000000000009,-0.03200000000000003,0.014000000000000012,0.4426,Neutral,0.007393715341959317,-0.009242144177449174,0.02402957486136792,0.4518,Neutral
15862,best,35,12,0.34285714285714286,0.8569009151037591,0.7705549117624315,0.08634600334132758,1.5538783778336585,1.382036741638357,1.4765367185708165,0.0040000000000000036,-0.018000000000000016,0.027999999999999914,0.781,Neutral,0.0,-0.012939001848428777,0.012939001848428777,1.104,Neutral
1592,Key,95,31,0.3263157894736842,0.8682963525043976,0.9517062576485243,-0.08340990514412672,0.9981994522269815,1.1421930906776603,1.006293365822038,0.0,-0.020000000000000018,0.02200000000000002,1.0626,Neutral,0.001848428835489857,-0.012939001848428888,0.01663585951940849,0.8966,Neutral
15955, outer,99,30,0.30303030303030304,0.8322775323185028,0.8523778000420391,-0.020100267723536347,0.958323541044797,0.8972046453634752,0.8111167571490738,-0.014000000000000012,-0.03600000000000003,0.008000000000000007,0.2654,Neutral,-0.003696857670979714,-0.01848428835489835,0.011090573012939031,0.7128,Neutral
16229, educational,33,12,0.36363636363636365,0.9452195247691689,1.0397507433751316,-0.0945312186059627,1.0576686952404226,1.1229032869591857,1.148854578308987,-0.016000000000000014,-0.038000000000000034,0.008000000000000007,0.207,Neutral,-0.001848428835489857,-0.014787430683918634,0.011090573012939031,0.882,Neutral
1633, object,47,15,0.3191489361702128,0.5633115867840776,0.7481082627789951,-0.18479667599491756,0.44836679956611947,0.5882072411414094,0.5166034789181914,-0.006000000000000005,-0.028000000000000025,0.016000000000000014,0.658,Neutral,0.0,-0.012939001848428888,0.012939001848428888,1.1068,Neutral
16652, removal,43,16,0.37209302325581395,0.5563792794195632,0.5333879379512265,0.0229913414683367,1.0054459397377835,1.1324945154145014,0.9920383355212073,0.006000000000000005,-0.016000000000000014,0.028000000000000025,0.6398,Neutral,0.0,-0.014787430683918745,0.014787430683918745,1.0844,Neutral
17059, weekly,39,13,0.3333333333333333,1.2429237767204517,1.1583303160710399,0.08459346064941187,0.3591398420408842,0.3862585921037046,0.462060890543235,0.0,-0.02400000000000002,0.02400000000000002,1.0538,Neutral,0.003696857670979603,-0.005545286506469571,0.014787430683918634,0.5796,Neutral
17233, cooking,39,13,0.3333333333333333,0.5477732366084987,0.6157136540876262,-0.06794041747912749,0.8642141043862629,0.8232123429091492,0.7581061455010711,0.0020000000000000018,-0.02199999999999991,0.026000000000000023,0.9252,Neutral,0.003696857670979603,-0.007393715341959317,0.01663585951940849,0.6462,Neutral
17590, integration,31,15,0.4838709677419355,0.6645015335224519,0.8121491985196283,-0.1476476649971764,0.8117609031319115,0.9027700135132275,0.7990010921306337,0.0020000000000000018,-0.02199999999999991,0.026000000000000023,0.9252,Neutral,-0.003696857670979714,-0.01663585951940849,0.009242144177449174,0.6868,Neutral
17719, reducing,41,13,0.3170731707317073,0.7329404556355767,0.7398259573648119,-0.006885501729235188,1.0790069761097563,1.1054300751214814,1.105769688520501,-0.006000000000000005,-0.028000000000000025,0.016000000000000014,0.669,Neutral,0.007393715341959317,-0.00554528650646946,0.020332717190388205,0.2978,Neutral
