rock_id,rock_token,rock_freq,rock_mean_kl,rock_freq_mean,ctrl_id,ctrl_token,ctrl_freq,ctrl_mean_kl,ctrl_freq_mean
3070,<id=3070>,1572,0.5206408208396639,818.4473703599516,729,<id=729>,87,0.27555335974259404,23.97314229760568
279,<id=279>,3075,0.22504328026688863,692.0080868206826,308,<id=308>,153,0.056073569545261305,8.57925614042498
400,<id=400>,4725,0.14312266526463024,676.2545933753779,26888,<id=26888>,352,0.01541843427118516,5.427288863457176
220,<id=220>,6772,0.06110322708899799,413.7910538466944,3417,<id=3417>,162,0.07824828309894144,12.676221862028513
11,<id=11>,2155,0.1864139393258603,401.72203924722896,435,<id=435>,114,0.06605642155951863,7.530432057785124
1447,<id=1447>,1201,0.3242456162608458,389.4189851292758,3108,<id=3108>,95,0.11812680224905267,11.222046213660004
1124,<id=1124>,3026,0.12132688671223368,367.13515919121915,15136,<id=15136>,280,0.03437181869975999,9.624109235932798
44364,<id=44364>,930,0.36363469192378006,338.1802634891155,14822,<id=14822>,929,0.01788817177484683,16.618111578832707
1654,<id=1654>,971,0.3267632345740419,317.28710077139465,23,<id=23>,636,0.02053663285618289,13.061298496532318
382,<id=382>,1094,0.27275370303000485,298.3925511148253,1291,<id=1291>,95,0.0025615534161143086,0.2433475745308593
264,<id=264>,1123,0.25530374523906446,286.7061059034694,3501,<id=3501>,101,0.23880478963426663,24.11928375306093
315,<id=315>,1408,0.20110029123179887,283.1492100543728,8,<id=8>,900,0.032242116549320736,29.01790489438866
271,<id=271>,1985,0.126800111546435,251.69822141967347,31610,<id=31610>,163,0.06423302285620078,10.469982725560726
14085,<id=14085>,2909,0.08476419639287015,246.57904730685928,1318,<id=1318>,308,0.06349255412793865,19.555706671405105
320,<id=320>,721,0.3236621352127977,233.36039948842713,258,<id=258>,90,0.19550923095890677,17.595830786301608
374,<id=374>,1044,0.2134601131277279,222.85235810534792,4930,<id=4930>,99,0.26575466160365513,26.309711498761857
334,<id=334>,1266,0.17040282106605234,215.72997146962226,81,<id=81>,120,0.012690409855554035,1.5228491826664843
510,<id=510>,521,0.39387804133994475,205.21045953811122,65,<id=65>,172,0.006575164520163065,1.1309282974680472
323,<id=323>,724,0.28186977853700373,204.07371966079072,272,<id=272>,170,0.022835157655142494,3.881976801374224
16,<id=16>,3666,0.05382833705687813,197.33468365051522,282,<id=282>,170,0.05874241159140055,9.986209970538093
525,<id=525>,1276,0.12769981870293562,162.94496866494586,69,<id=69>,107,0.1957128276490095,20.941272558444016
4416,<id=4416>,377,0.4279116792814366,161.3227030891016,24884,<id=24884>,169,0.05079939934458326,8.585098489234571
198,<id=198>,2686,0.059383994054739236,159.5054080310296,273,<id=273>,93,1.5910335365354167e-06,0.00014796611889779376
304,<id=304>,357,0.4430268826847167,158.16059711844386,387,<id=387>,164,0.083436929846439,13.683656494815995
284,<id=284>,2657,0.05576723457931359,148.1735422772362,1741,<id=1741>,96,0.31017265173468694,29.776574566529945
10061,<id=10061>,271,0.5357040808284917,145.17580590452127,10374,<id=10374>,169,0.01649248335153569,2.787229686409532
70894,<id=70894>,198,0.6658815684727369,131.8445505576019,88,<id=88>,168,0.039949061510829526,6.7114423338193605
576,<id=576>,206,0.6374579476078469,131.31633720721646,340,<id=340>,158,0.15205631621096552,24.024897961332552
12,<id=12>,1472,0.08388728672360689,123.48208605714935,46912,<id=46912>,95,0.2401143839671405,22.810866476878346
17,<id=17>,3623,0.03184447531089262,115.37253405136397,25780,<id=25780>,81,0.161091551418807,13.048415664923366
311,<id=311>,1129,0.0994058763758728,112.22923442836039,1459,<id=1459>,101,0.22481169952055363,22.705981651575918
856,<id=856>,722,0.15537328757695085,112.17951363055852,1119,<id=1119>,77,0.0940500413089877,7.241853180792052
582,<id=582>,360,0.311251566222847,112.05056384022492,91,<id=91>,139,0.030649713503729435,4.2603101770183915
59,<id=59>,846,0.1302470037386801,110.18896516292335,2359,<id=2359>,103,0.18927321428476626,19.495141071330924
14374,<id=14374>,1000,0.10307111603158778,103.07111603158778,87,<id=87>,930,0.03305617103292884,30.742239060623824
